X.seqnames	X.start	X.end	X.width	X.strand	X.gene	X.product	X.product_type	X.locus_tag	X.GO_term	X.EC_number	X.note	X.withReplication	X.PY79_rpkm	X.delta_walJ_rpkm	X.delta_mutSL_rpkm	X.GC_content	gene	product	product_type	locus_tag	GO_term	EC_number	note	withReplication	PY79_rpkm	delta_walJ_rpkm	delta_mutSL_rpkm	GC_content
PY79	410	1750	1341	+	dnaA	Chromosomal replication initiator protein DnaA	CDS	U712_00005				head-on	453.919	608.742	787.464	0.401193	dnaA	Chromosomal replication initiator protein DnaA	CDS	U712_00005				head-on	453.919	608.742	787.464	0.401193
PY79	1939	3075	1137	+	dnaN	DNA polymerase III subunit beta	CDS	U712_00010	GO:0003887	2.7.7.7		codirectional	407.802	270.857	422.98	0.399296	dnaN	DNA polymerase III subunit beta	CDS	U712_00010	GO:0003887	2.7.7.7		codirectional	407.802	270.857	422.98	0.399296
PY79	3206	3421	216	+	yaaA	Uncharacterized protein yaaA	CDS	U712_00015				codirectional	371.081	4132.46	3545.72	0.435185	yaaA	Uncharacterized protein yaaA	CDS	U712_00015				codirectional	371.081	4132.46	3545.72	0.435185
PY79	3437	4549	1113	+	recF	DNA replication and repair protein recF	CDS	U712_00020				codirectional	624.945	1308.88	1082.5	0.455526	recF	DNA replication and repair protein recF	CDS	U712_00020				codirectional	624.945	1308.88	1082.5	0.455526
PY79	4567	4812	246	+	yaaB	Uncharacterized protein yaaB	CDS	U712_00025				codirectional	523.235	1207.44	1215.37	0.369919	yaaB	Uncharacterized protein yaaB	CDS	U712_00025				codirectional	523.235	1207.44	1215.37	0.369919
PY79	4867	6783	1917	+	gyrB	DNA gyrase subunit B	CDS	U712_00030	GO:0003918	5.99.1.3		codirectional	675.245	601.845	624.892	0.450183	gyrB	DNA gyrase subunit B	CDS	U712_00030	GO:0003918	5.99.1.3		codirectional	675.245	601.845	624.892	0.450183
PY79	6780	6893	114	-	U712_00035	Hypothetical Protein	CDS	U712_00035				head-on	168.883	23.4708	17.0985	0.307018	U712_00035	Hypothetical Protein	CDS	U712_00035				head-on	168.883	23.4708	17.0985	0.307018
PY79	6994	9459	2466	+	gyrA	DNA gyrase subunit A	CDS	U712_00040	GO:0003918	5.99.1.3		codirectional	798.482	1369	1402.46	0.444039	gyrA	DNA gyrase subunit A	CDS	U712_00040	GO:0003918	5.99.1.3		codirectional	798.482	1369	1402.46	0.444039
PY79	14847	15794	948	-	yaaC	Uncharacterized protein yaaC	CDS	U712_00045				head-on	7.2689	8.83828	8.81084	0.345992	yaaC	Uncharacterized protein yaaC	CDS	U712_00045				head-on	7.2689	8.83828	8.81084	0.345992
PY79	15915	17381	1467	+	guaB	Inosine-5'-monophosphate dehydrogenase	CDS	U712_00050	GO:0003938	1.1.1.205		codirectional	1769.07	1489.58	1480.66	0.434901	guaB	Inosine-5'-monophosphate dehydrogenase	CDS	U712_00050	GO:0003938	1.1.1.205		codirectional	1769.07	1489.58	1480.66	0.434901
PY79	17609	18865	1257	+	dacA	D-alanyl-D-alanine carboxypeptidase dacA	CDS	U712_00055	GO:0009002	3.4.16.4		codirectional	1135	614.684	777.615	0.404932	dacA	D-alanyl-D-alanine carboxypeptidase dacA	CDS	U712_00055	GO:0009002	3.4.16.4		codirectional	1135	614.684	777.615	0.404932
PY79	19062	19946	885	+	pdxS	Pyridoxal biosynthesis lyase pdxS	CDS	U712_00060	GO:0005554			codirectional	519.055	389.345	605.928	0.459887	pdxS	Pyridoxal biosynthesis lyase pdxS	CDS	U712_00060	GO:0005554			codirectional	519.055	389.345	605.928	0.459887
