Name	Locus_tag	key	classif
S60	new_158050_158514_c	new_158050_158514_c::AL009126.3:158049-158514(-)	3'NT
S62	new_159149_159778_c	new_159149_159778_c::AL009126.3:159148-159778(-)	3'NT
S70	new_201802_202546_c	new_201802_202546_c::AL009126.3:201801-202546(-)	3'NT
S109	new_335729_336091_c	new_335729_336091_c::AL009126.3:335728-336091(-)	3'NT
S120	new_353869_356316	new_353869_356316::AL009126.3:353868-356316(+)	3'NT
S174	new_549652_549910	new_549652_549910::AL009126.3:549651-549910(+)	3'NT
S180	new_559362_560150_c	new_559362_560150_c::AL009126.3:559361-560150(-)	3'NT
S197	new_604577_605269	new_604577_605269::AL009126.3:604576-605269(+)	3'NT
S244	new_746000_747189	new_746000_747189::AL009126.3:745999-747189(+)	3'NT
S255	new_821232_822902_c	new_821232_822902_c::AL009126.3:821231-822902(-)	3'NT
S272	new_846186_849552	new_846186_849552::AL009126.3:846185-849552(+)	3'NT
S325	new_1011751_1013617	new_1011751_1013617::AL009126.3:1011750-1013617(+)	3'NT
S354	new_1074573_1076008	new_1074573_1076008::AL009126.3:1074572-1076008(+)	3'NT
S454	new_1319640_1320569_c	new_1319640_1320569_c::AL009126.3:1319639-1320569(-)	3'NT
S506	new_1461473_1462812_c	new_1461473_1462812_c::AL009126.3:1461472-1462812(-)	3'NT
S656	new_1915794_1916005_c	new_1915794_1916005_c::AL009126.3:1915793-1916005(-)	3'NT
S699	new_2041030_2041466	new_2041030_2041466::AL009126.3:2041029-2041466(+)	3'NT
S703	new_2044833_2045843	new_2044833_2045843::AL009126.3:2044832-2045843(+)	3'NT
S706	new_2049454_2050111	new_2049454_2050111::AL009126.3:2049453-2050111(+)	3'NT
S758	new_2138041_2139052	new_2138041_2139052::AL009126.3:2138040-2139052(+)	3'NT
S760	new_2153170_2153718	new_2153170_2153718::AL009126.3:2153169-2153718(+)	3'NT
S767	new_2158685_2158869	new_2158685_2158869::AL009126.3:2158684-2158869(+)	3'NT
S790	new_2213079_2214861	new_2213079_2214861::AL009126.3:2213078-2214861(+)	3'NT
S803	new_2245307_2246150_c	new_2245307_2246150_c::AL009126.3:2245306-2246150(-)	3'NT
S814	new_2282285_2283135_c	new_2282285_2283135_c::AL009126.3:2282284-2283135(-)	3'NT
S820	new_2295944_2297045	new_2295944_2297045::AL009126.3:2295943-2297045(+)	3'NT
S841	new_2337997_2338147	new_2337997_2338147::AL009126.3:2337996-2338147(+)	3'NT
S986	new_2707685_2707807	new_2707685_2707807::AL009126.3:2707684-2707807(+)	3'NT
S1010	new_2740896_2741093	new_2740896_2741093::AL009126.3:2740895-2741093(+)	3'NT
S1114	new_2997283_2999078	new_2997283_2999078::AL009126.3:2997282-2999078(+)	3'NT
S1144	new_3055193_3055921	new_3055193_3055921::AL009126.3:3055192-3055921(+)	3'NT
S1160	new_3106996_3107052	new_3106996_3107052::AL009126.3:3106995-3107052(+)	3'NT
S1178	new_3154077_3154734_c	new_3154077_3154734_c::AL009126.3:3154076-3154734(-)	3'NT
S1179	new_3159185_3159752	new_3159185_3159752::AL009126.3:3159184-3159752(+)	3'NT
S1191	new_3213329_3216149	new_3213329_3216149::AL009126.3:3213328-3216149(+)	3'NT
S1205	new_3231069_3231811_c	new_3231069_3231811_c::AL009126.3:3231068-3231811(-)	3'NT
S1270	new_3386852_3387780_c	new_3386852_3387780_c::AL009126.3:3386851-3387780(-)	3'NT
S1275	new_3391778_3394421_c	new_3391778_3394421_c::AL009126.3:3391777-3394421(-)	3'NT
S1317	new_3545605_3545858	new_3545605_3545858::AL009126.3:3545604-3545858(+)	3'NT
S1363	new_3666508_3667599	new_3666508_3667599::AL009126.3:3666507-3667599(+)	3'NT
S1364	new_3666577_3666932_c	new_3666577_3666932_c::AL009126.3:3666576-3666932(-)	3'NT
S1403	new_3745414_3746298	new_3745414_3746298::AL009126.3:3745413-3746298(+)	3'NT
S1450	new_3842996_3845478	new_3842996_3845478::AL009126.3:3842995-3845478(+)	3'NT
S1466	new_3906104_3907171	new_3906104_3907171::AL009126.3:3906103-3907171(+)	3'NT
S1488	new_3980704_3983186_c	new_3980704_3983186_c::AL009126.3:3980703-3983186(-)	3'NT
S1544	new_4130045_4131409	new_4130045_4131409::AL009126.3:4130044-4131409(+)	3'NT
S14	new_22452_22529	new_22452_22529::AL009126.3:22451-22529(+)	3'PT
S15	new_22531_23167	new_22531_23167::AL009126.3:22530-23167(+)	3'PT
S97	new_280556_281740_c	new_280556_281740_c::AL009126.3:280555-281740(-)	3'PT
S127	new_409056_409207_c	new_409056_409207_c::AL009126.3:409055-409207(-)	3'PT
S143	new_489666_490525_c	new_489666_490525_c::AL009126.3:489665-490525(-)	3'PT
S148	new_495406_495699_c	new_495406_495699_c::AL009126.3:495405-495699(-)	3'PT
S169	new_529454_530352	new_529454_530352::AL009126.3:529453-530352(+)	3'PT
S247	new_783392_785083_c	new_783392_785083_c::AL009126.3:783391-785083(-)	3'PT
S308	new_957688_958613	new_957688_958613::AL009126.3:957687-958613(+)	3'PT
S318	new_988013_988416_c	new_988013_988416_c::AL009126.3:988012-988416(-)	3'PT
S349	new_1071742_1072225	new_1071742_1072225::AL009126.3:1071741-1072225(+)	3'PT
S375	new_1130705_1131082	new_1130705_1131082::AL009126.3:1130704-1131082(+)	3'PT
S379	new_1147493_1148466_c	new_1147493_1148466_c::AL009126.3:1147492-1148466(-)	3'PT
S385	new_1151121_1151285	new_1151121_1151285::AL009126.3:1151120-1151285(+)	3'PT
S425	new_1253669_1254769	new_1253669_1254769::AL009126.3:1253668-1254769(+)	3'PT
S428	new_1260806_1262335	new_1260806_1262335::AL009126.3:1260805-1262335(+)	3'PT
